"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg","Rdate","Season"
"PENN-Joe","at Lock Haven University","away","1/12/11","no",6,0,1,0,0,1,0,0,0,0,0,0,0,0.6,1,0,1,1,0,1,0,0.8,2011-01-12,"2010-2011"
"RATNER-Heiden","at Lock Haven University","away","1/12/11","yes",25,7,16,0.438,3,7,0.429,4,4,1,1,3,4,2.7,2,0,2,1,0,1,21,22.6,2011-01-12,"2010-2011"
"RICKARD-Andrew","at Lock Haven University","away","1/12/11","no",16,1,2,0.5,1,2,0.5,4,4,1,0,3,3,1,4,0,1,0,0,1,7,2.8,2011-01-12,"2010-2011"
"SNOW-Jason","at Lock Haven University","away","1/12/11","no",18,2,4,0.5,0,0,0,0,2,0,2,3,5,3.8,3,0,2,0,0,2,4,3,2011-01-12,"2010-2011"
"TURNER-Jamal","at Lock Haven University","away","1/12/11","yes",29,1,1,1,1,1,1,0,0,0,1,0,1,2.2,1,0,6,0,0,1,3,2.6,2011-01-12,"2010-2011"
"WEAVER-Bill","at Lock Haven University","away","1/12/11","no",17,0,4,0,0,0,0,2,6,0.333,0,0,0,2.3,2,0,0,1,1,0,2,6.5,2011-01-12,"2010-2011"
"COHEN-Iddo","CALIFORNIA (PA.)","home","01/15/11","no",11,1,2,0.5,0,0,0,0,0,0,2,4,6,2,2,0,0,0,1,0,2,1.8,2011-01-15,"2010-2011"
"DUPITON-Olivier","CALIFORNIA (PA.)","home","01/15/11","yes",25,1,2,0.5,0,0,0,0,0,0,2,1,3,2.4,1,0,0,4,0,1,2,5.3,2011-01-15,"2010-2011"
"ELLINGTON-Keith","CALIFORNIA (PA.)","home","01/15/11","no",7,0,2,0,0,1,0,0,0,0,0,0,0,0.6,0,0,0,1,0,0,0,2.1,2011-01-15,"2010-2011"
"JACKSON-Shelton","CALIFORNIA (PA.)","home","01/15/11","yes",26,2,6,0.333,0,3,0,1,2,0.5,1,2,3,4.9,2,0,0,1,0,3,5,11.9,2011-01-15,"2010-2011"
"LEAO-Luis","CALIFORNIA (PA.)","home","01/15/11","yes",28,9,17,0.529,2,2,1,4,5,0.8,6,6,12,9.2,4,0,1,2,1,0,24,16.2,2011-01-15,"2010-2011"
"OUEGNIN-Jonathan","CALIFORNIA (PA.)","home","01/15/11","no",0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1,0,0,0,0,2.1,2011-01-15,"2010-2011"
"PENN-Joe","CALIFORNIA (PA.)","home","01/15/11","no",6,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.7,2011-01-15,"2010-2011"
"RATNER-Heiden","CALIFORNIA (PA.)","home","01/15/11","yes",23,8,16,0.5,2,5,0.4,4,4,1,2,3,5,2.9,1,0,2,1,0,0,22,22.6,2011-01-15,"2010-2011"
"RICKARD-Andrew","CALIFORNIA (PA.)","home","01/15/11","no",20,3,5,0.6,1,1,1,4,5,0.8,0,0,0,0.9,0,0,0,0,0,1,11,3.7,2011-01-15,"2010-2011"
"TURNER-Jamal","CALIFORNIA (PA.)","home","01/15/11","yes",38,0,1,0,0,0,0,2,2,1,0,4,4,2.4,0,0,8,3,0,0,2,2.6,2011-01-15,"2010-2011"
"WEAVER-Bill","CALIFORNIA (PA.)","home","01/15/11","no",16,2,6,0.333,0,0,0,1,2,0.5,1,0,1,2.2,5,1,0,2,0,2,5,6.4,2011-01-15,"2010-2011"
"COHEN-Iddo","CLARION","home","1/19/11","no",17,0,4,0,0,0,0,0,0,0,4,1,5,2.2,5,1,0,1,2,0,0,1.7,2011-01-19,"2010-2011"
"ELLINGTON-Keith","CLARION","home","1/19/11","no",5,1,4,0.25,0,1,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2,2.1,2011-01-19,"2010-2011"
"JACKSON-Shelton","CLARION","home","1/19/11","yes",39,7,12,0.583,4,5,0.8,1,2,0.5,3,7,10,5.3,4,0,3,4,0,1,19,12.4,2011-01-19,"2010-2011"
"LEAO-Luis","CLARION","home","1/19/11","yes",39,5,8,0.625,1,1,1,16,18,0.889,6,5,11,9.3,5,1,1,7,3,3,27,16.9,2011-01-19,"2010-2011"
"McLAIN-Pat","CLARION","home","1/19/11","no",7,1,2,0.5,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,2,1,2011-01-19,"2010-2011"
"OUEGNIN-Jonathan","CLARION","home","1/19/11","no",9,0,1,0,0,1,0,0,0,0,0,0,0,1.3,1,0,1,0,0,0,0,1.9,2011-01-19,"2010-2011"
"RATNER-Heiden","CLARION","home","1/19/11","yes",39,11,24,0.458,7,16,0.438,5,5,1,0,6,6,3.1,1,0,2,2,0,1,34,23.3,2011-01-19,"2010-2011"
"RICKARD-Andrew","CLARION","home","1/19/11","no",7,1,4,0.25,1,4,0.25,0,0,0,0,0,0,0.8,1,0,0,2,0,0,3,3.6,2011-01-19,"2010-2011"
"TURNER-Jamal","CLARION","home","1/19/11","yes",35,0,2,0,0,1,0,1,2,0.5,1,3,4,2.5,4,0,11,1,0,1,1,2.5,2011-01-19,"2010-2011"
"WEAVER-Bill","CLARION","home","1/19/11","yes",28,1,4,0.25,0,0,0,0,0,0,1,2,3,2.3,2,0,2,0,4,2,2,6.1,2011-01-19,"2010-2011"
"COHEN-Iddo","at Slippery Rock","away","1/22/11","no",10,0,1,0,0,0,0,0,0,0,0,1,1,2.1,1,0,0,0,1,0,0,1.6,2011-01-22,"2010-2011"
"ELLINGTON-Keith","at Slippery Rock","away","1/22/11","no",1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.9,2011-01-22,"2010-2011"
"JACKSON-Shelton","at Slippery Rock","away","1/22/11","yes",28,3,7,0.429,1,2,0.5,2,3,0.667,1,5,6,5.3,1,0,6,0,0,4,9,12.2,2011-01-22,"2010-2011"
"LEAO-Luis","at Slippery Rock","away","1/22/11","yes",34,4,8,0.5,2,2,1,4,4,1,2,5,7,9.2,2,0,1,4,2,2,14,16.8,2011-01-22,"2010-2011"
"McLAIN-Pat","at Slippery Rock","away","1/22/11","no",8,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1,0,0,2,0,0,0,0.7,2011-01-22,"2010-2011"
"OUEGNIN-Jonathan","at Slippery Rock","away","1/22/11","no",7,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1,0,0,0,0,0,0,1.8,2011-01-22,"2010-2011"
"RATNER-Heiden","at Slippery Rock","away","1/22/11","yes",32,8,16,0.5,3,6,0.5,0,0,0,2,4,6,3.3,1,0,0,2,0,1,19,23.1,2011-01-22,"2010-2011"
"RICKARD-Andrew","at Slippery Rock","away","1/22/11","no",10,1,2,0.5,0,0,0,0,0,0,0,1,1,0.8,0,0,0,0,0,0,2,3.5,2011-01-22,"2010-2011"
"SNOW-Jason","at Slippery Rock","away","1/22/11","no",17,2,5,0.4,0,2,0,2,2,1,0,2,2,3.6,2,0,2,1,0,1,6,3.2,2011-01-22,"2010-2011"
"TURNER-Jamal","at Slippery Rock","away","1/22/11","yes",31,3,6,0.5,1,3,0.333,1,2,0.5,1,2,3,2.5,2,0,6,3,0,4,8,2.8,2011-01-22,"2010-2011"
"WEAVER-Bill","at Slippery Rock","away","1/22/11","yes",22,6,12,0.5,0,1,0,1,2,0.5,2,2,4,2.4,3,0,0,1,0,0,13,6.6,2011-01-22,"2010-2011"
"COHEN-Iddo","at Gannon University","away","1/26/11","no",16,1,2,0.5,0,0,0,0,0,0,2,0,2,2.1,2,0,0,1,0,0,2,1.6,2011-01-26,"2010-2011"
"JACKSON-Shelton","at Gannon University","away","1/26/11","yes",35,5,11,0.455,1,2,0.5,7,8,0.875,7,3,10,5.6,4,0,4,3,1,0,18,12.5,2011-01-26,"2010-2011"
"LEAO-Luis","at Gannon University","away","1/26/11","yes",37,4,11,0.364,1,3,0.333,9,11,0.818,0,5,5,8.9,3,0,0,1,0,2,18,16.8,2011-01-26,"2010-2011"
"McLAIN-Pat","at Gannon University","away","1/26/11","no",5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,2011-01-26,"2010-2011"
"OUEGNIN-Jonathan","at Gannon University","away","1/26/11","no",11,0,2,0,0,0,0,0,0,0,0,0,0,1.1,2,0,1,2,0,1,0,1.6,2011-01-26,"2010-2011"
"RATNER-Heiden","at Gannon University","away","1/26/11","yes",38,7,19,0.368,3,12,0.25,0,0,0,0,4,4,3.3,1,0,1,3,1,2,17,22.7,2011-01-26,"2010-2011"
"RICKARD-Andrew","at Gannon University","away","1/26/11","no",4,1,3,0.333,1,2,0.5,0,0,0,0,1,1,0.8,0,0,0,0,0,0,3,3.4,2011-01-26,"2010-2011"
"SNOW-Jason","at Gannon University","away","1/26/11","no",16,1,2,0.5,1,1,1,2,3,0.667,0,1,1,3.5,2,0,0,0,0,0,5,3.3,2011-01-26,"2010-2011"
"TURNER-Jamal","at Gannon University","away","1/26/11","yes",37,0,3,0,0,3,0,1,2,0.5,2,3,5,2.6,1,0,7,4,0,5,1,2.7,2011-01-26,"2010-2011"
"WEAVER-Bill","at Gannon University","away","1/26/11","yes",26,1,4,0.25,0,0,0,2,2,1,0,1,1,2.3,4,0,0,2,1,0,4,6.4,2011-01-26,"2010-2011"
"COHEN-Iddo","INDIANA (PA.) UNIV.","home","1/29/11","no",17,0,0,0,0,0,0,1,2,0.5,0,2,2,2.1,1,0,0,3,1,0,1,1.6,2011-01-29,"2010-2011"
"JACKSON-Shelton","INDIANA (PA.) UNIV.","home","1/29/11","yes",32,3,7,0.429,2,4,0.5,6,7,0.857,0,1,1,5.3,3,0,2,1,0,2,14,12.6,2011-01-29,"2010-2011"
"LEAO-Luis","INDIANA (PA.) UNIV.","home","1/29/11","yes",34,7,14,0.5,2,5,0.4,2,3,0.667,3,6,9,8.9,3,0,3,1,1,1,18,16.9,2011-01-29,"2010-2011"
"McLAIN-Pat","INDIANA (PA.) UNIV.","home","1/29/11","no",2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0,0,0.4,2011-01-29,"2010-2011"
"OUEGNIN-Jonathan","INDIANA (PA.) UNIV.","home","1/29/11","no",5,0,1,0,0,1,0,0,0,0,0,1,1,1.1,0,0,0,1,0,0,0,1.5,2011-01-29,"2010-2011"
"RATNER-Heiden","INDIANA (PA.) UNIV.","home","1/29/11","yes",35,2,10,0.2,0,4,0,4,4,1,1,3,4,3.3,1,0,3,3,0,1,8,21.9,2011-01-29,"2010-2011"
"RICKARD-Andrew","INDIANA (PA.) UNIV.","home","1/29/11","no",8,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0.8,0,0,0,0,0,0,3,3.4,2011-01-29,"2010-2011"
"SNOW-Jason","INDIANA (PA.) UNIV.","home","1/29/11","no",11,2,2,1,0,0,0,0,0,0,0,0,0,3.3,1,0,0,1,1,0,4,3.4,2011-01-29,"2010-2011"
"TURNER-Jamal","INDIANA (PA.) UNIV.","home","1/29/11","yes",29,2,5,0.4,1,3,0.333,2,2,1,0,1,1,2.6,2,0,7,2,1,0,7,2.9,2011-01-29,"2010-2011"
"WEAVER-Bill","INDIANA (PA.) UNIV.","home","1/29/11","yes",27,4,8,0.5,0,0,0,1,3,0.333,2,3,5,2.4,4,0,2,1,0,3,9,6.6,2011-01-29,"2010-2011"
"COHEN-Iddo","EDINBORO UNIVERSITY","home","02/02/11","no",24,2,4,0.5,0,0,0,0,1,0,5,3,8,2.4,4,0,0,3,1,0,4,1.7,2011-02-02,"2010-2011"
"JACKSON-Shelton","EDINBORO UNIVERSITY","home","02/02/11","yes",20,2,8,0.25,1,5,0.2,5,5,1,4,5,9,5.5,3,0,3,4,1,1,10,12.5,2011-02-02,"2010-2011"
"LEAO-Luis","EDINBORO UNIVERSITY","home","02/02/11","yes",36,8,16,0.5,2,4,0.5,13,13,1,3,4,7,8.8,3,0,0,3,3,1,31,17.6,2011-02-02,"2010-2011"
"OUEGNIN-Jonathan","EDINBORO UNIVERSITY","home","02/02/11","no",21,0,1,0,0,0,0,0,0,0,0,1,1,1.1,1,0,1,1,0,0,0,1.4,2011-02-02,"2010-2011"
"RATNER-Heiden","EDINBORO UNIVERSITY","home","02/02/11","yes",36,4,12,0.333,2,8,0.25,1,2,0.5,2,1,3,3.3,1,0,3,2,0,1,11,21.3,2011-02-02,"2010-2011"
"RICKARD-Andrew","EDINBORO UNIVERSITY","home","02/02/11","no",4,0,2,0,0,2,0,0,0,0,1,0,1,0.8,1,0,1,0,0,0,0,3.1,2011-02-02,"2010-2011"
"SNOW-Jason","EDINBORO UNIVERSITY","home","02/02/11","no",24,6,7,0.857,0,0,0,0,3,0,1,0,1,3.1,4,0,3,0,0,2,12,3.9,2011-02-02,"2010-2011"
"TURNER-Jamal","EDINBORO UNIVERSITY","home","02/02/11","yes",17,1,2,0.5,0,0,0,2,3,0.667,0,3,3,2.6,2,0,7,4,0,1,4,3,2011-02-02,"2010-2011"
"WEAVER-Bill","EDINBORO UNIVERSITY","home","02/02/11","yes",18,6,9,0.667,0,0,0,1,1,1,3,2,5,2.6,3,0,1,1,0,2,13,6.9,2011-02-02,"2010-2011"
"COHEN-Iddo","LOCK HAVEN UNIVERSITY","home","2/5/11","no",5,1,1,1,0,0,0,0,0,0,1,1,2,2.4,1,0,0,1,0,0,2,1.7,2011-02-05,"2010-2011"
"DURISKO-Matt","LOCK HAVEN UNIVERSITY","home","2/5/11","no",5,1,1,1,0,0,0,1,2,0.5,2,0,2,1.3,0,0,0,1,0,0,3,2.3,2011-02-05,"2010-2011"
"ELLINGTON-Keith","LOCK HAVEN UNIVERSITY","home","2/5/11","no",11,1,5,0.2,0,1,0,2,2,1,1,1,2,0.6,0,0,1,1,0,0,4,2.1,2011-02-05,"2010-2011"
"JACKSON-Shelton","LOCK HAVEN UNIVERSITY","home","2/5/11","yes",23,3,6,0.5,1,2,0.5,6,6,1,1,12,13,5.9,2,0,7,1,0,0,13,12.5,2011-02-05,"2010-2011"
"LEAO-Luis","LOCK HAVEN UNIVERSITY","home","2/5/11","yes",17,7,9,0.778,1,1,1,4,4,1,0,1,1,8.5,3,0,2,3,0,0,19,17.7,2011-02-05,"2010-2011"
"McLAIN-Pat","LOCK HAVEN UNIVERSITY","home","2/5/11","no",2,0,1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.3,2011-02-05,"2010-2011"
"OUEGNIN-Jonathan","LOCK HAVEN UNIVERSITY","home","2/5/11","no",18,1,2,0.5,0,0,0,1,3,0.333,0,3,3,1.2,1,0,2,1,1,2,3,1.5,2011-02-05,"2010-2011"
"PENN-Joe","LOCK HAVEN UNIVERSITY","home","2/5/11","no",10,2,3,0.667,1,1,1,0,0,0,1,0,1,0.5,2,0,0,2,0,0,5,1.1,2011-02-05,"2010-2011"
"RATNER-Heiden","LOCK HAVEN UNIVERSITY","home","2/5/11","yes",26,4,10,0.4,2,6,0.333,1,1,1,0,3,3,3.3,1,0,2,2,0,2,11,20.8,2011-02-05,"2010-2011"
"RICKARD-Andrew","LOCK HAVEN UNIVERSITY","home","2/5/11","no",19,2,5,0.4,1,2,0.5,2,2,1,2,2,4,1,1,0,3,1,0,1,7,3.4,2011-02-05,"2010-2011"
"SNOW-Jason","LOCK HAVEN UNIVERSITY","home","2/5/11","no",24,5,5,1,0,0,0,2,2,1,1,6,7,3.3,1,0,0,1,0,0,12,4.3,2011-02-05,"2010-2011"
"TURNER-Jamal","LOCK HAVEN UNIVERSITY","home","2/5/11","yes",22,0,0,0,0,0,0,0,0,0,0,1,1,2.5,3,0,2,1,0,1,0,2.9,2011-02-05,"2010-2011"
"WEAVER-Bill","LOCK HAVEN UNIVERSITY","home","2/5/11","yes",18,3,7,0.429,0,0,0,1,7,0.143,3,2,5,2.7,3,0,1,0,0,1,7,6.9,2011-02-05,"2010-2011"
"COHEN-Iddo","at Clarion","away","2/9/11","no",13,1,1,1,0,0,0,0,0,0,2,0,2,2.4,3,0,0,1,2,0,2,1.7,2011-02-09,"2010-2011"
"JACKSON-Shelton","at Clarion","away","2/9/11","yes",33,6,14,0.429,4,7,0.571,4,6,0.667,3,3,6,5.9,2,0,0,0,0,1,20,12.9,2011-02-09,"2010-2011"
"LEAO-Luis","at Clarion","away","2/9/11","yes",31,1,8,0.125,0,2,0,7,8,0.875,2,5,7,8.4,4,0,2,6,0,2,9,17.3,2011-02-09,"2010-2011"
"OUEGNIN-Jonathan","at Clarion","away","2/9/11","no",3,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,1.4,2011-02-09,"2010-2011"
"RATNER-Heiden","at Clarion","away","2/9/11","yes",36,4,12,0.333,3,9,0.333,0,0,0,1,4,5,3.4,1,0,1,3,0,1,11,20.3,2011-02-09,"2010-2011"
"RICKARD-Andrew","at Clarion","away","2/9/11","no",7,0,1,0,0,1,0,0,0,0,0,2,2,1.1,0,0,0,1,0,1,0,3.2,2011-02-09,"2010-2011"
"SNOW-Jason","at Clarion","away","2/9/11","no",22,4,7,0.571,0,2,0,1,2,0.5,0,4,4,3.4,2,0,2,1,0,0,9,4.6,2011-02-09,"2010-2011"
"TURNER-Jamal","at Clarion","away","2/9/11","yes",28,0,4,0,0,1,0,0,0,0,0,2,2,2.5,2,0,7,2,0,0,0,2.7,2011-02-09,"2010-2011"
"WEAVER-Bill","at Clarion","away","2/9/11","yes",27,4,7,0.571,0,0,0,2,4,0.5,5,2,7,2.9,2,0,2,2,0,0,10,7,2011-02-09,"2010-2011"
"COHEN-Iddo","at California (Pa.)","away","02/12/11","no",8,0,0,0,0,0,0,0,2,0,0,0,0,2.3,3,0,0,0,0,0,0,1.6,2011-02-12,"2010-2011"
"JACKSON-Shelton","at California (Pa.)","away","02/12/11","yes",32,5,13,0.385,0,6,0,3,3,1,1,4,5,5.9,0,0,1,4,0,0,13,12.9,2011-02-12,"2010-2011"
"LEAO-Luis","at California (Pa.)","away","02/12/11","yes",32,7,8,0.875,0,0,0,5,7,0.714,2,6,8,8.4,4,0,0,2,0,2,19,17.4,2011-02-12,"2010-2011"
"McLAIN-Pat","at California (Pa.)","away","02/12/11","no",10,0,1,0,0,0,0,0,1,0,0,2,2,0.9,4,0,0,0,0,0,0,0.3,2011-02-12,"2010-2011"
"OUEGNIN-Jonathan","at California (Pa.)","away","02/12/11","no",10,0,0,0,0,0,0,3,4,0.75,1,2,3,1.2,1,0,1,2,0,1,3,1.5,2011-02-12,"2010-2011"
"PENN-Joe","at California (Pa.)","away","02/12/11","no",9,1,2,0.5,1,2,0.5,1,3,0.333,0,3,3,0.8,1,0,0,0,0,0,4,1.3,2011-02-12,"2010-2011"
"RATNER-Heiden","at California (Pa.)","away","02/12/11","yes",34,4,9,0.444,1,4,0.25,8,9,0.889,1,2,3,3.4,4,0,3,2,0,1,17,20.2,2011-02-12,"2010-2011"
"RICKARD-Andrew","at California (Pa.)","away","02/12/11","no",9,1,1,1,1,1,1,0,0,0,0,1,1,1.1,0,0,2,0,0,0,3,3.2,2011-02-12,"2010-2011"
"SNOW-Jason","at California (Pa.)","away","02/12/11","yes",33,3,5,0.6,0,0,0,6,10,0.6,1,3,4,3.4,2,0,8,4,0,1,12,5,2011-02-12,"2010-2011"
"WEAVER-Bill","at California (Pa.)","away","02/12/11","yes",23,6,6,1,0,0,0,2,4,0.5,0,2,2,2.9,3,0,1,0,0,0,14,7.4,2011-02-12,"2010-2011"
"COHEN-Iddo","GANNON UNIVERSITY","home","2/16/11","no",17,1,3,0.333,0,0,0,0,0,0,1,4,5,2.4,3,0,0,0,1,0,2,1.7,2011-02-16,"2010-2011"
"LEAO-Luis","GANNON UNIVERSITY","home","2/16/11","yes",25,9,12,0.75,1,1,1,11,13,0.846,1,1,2,8.1,4,0,0,3,0,0,30,17.9,2011-02-16,"2010-2011"
"OUEGNIN-Jonathan","GANNON UNIVERSITY","home","2/16/11","no",14,0,1,0,0,0,0,0,0,0,0,2,2,1.3,1,0,2,1,0,1,0,1.5,2011-02-16,"2010-2011"
"PENN-Joe","GANNON UNIVERSITY","home","2/16/11","no",2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,1.2,2011-02-16,"2010-2011"
"RATNER-Heiden","GANNON UNIVERSITY","home","2/16/11","yes",34,6,20,0.3,2,12,0.167,0,0,0,0,3,3,3.3,3,0,0,0,0,1,14,19.9,2011-02-16,"2010-2011"
"RICKARD-Andrew","GANNON UNIVERSITY","home","2/16/11","no",16,2,4,0.5,2,3,0.667,2,2,1,1,3,4,1.2,3,0,3,1,0,0,8,3.4,2011-02-16,"2010-2011"
"SNOW-Jason","GANNON UNIVERSITY","home","2/16/11","yes",32,2,3,0.667,1,1,1,5,12,0.417,3,2,5,3.5,2,0,4,0,0,2,10,5.2,2011-02-16,"2010-2011"
"TURNER-Jamal","GANNON UNIVERSITY","home","2/16/11","yes",34,0,5,0,0,2,0,1,2,0.5,2,1,3,2.5,2,0,8,3,0,0,1,2.6,2011-02-16,"2010-2011"
"WEAVER-Bill","GANNON UNIVERSITY","home","2/16/11","yes",26,3,7,0.429,0,0,0,0,0,0,1,3,4,2.9,3,0,1,2,1,3,6,7.3,2011-02-16,"2010-2011"
"COHEN-Iddo","SLIPPERY ROCK","home","02/19/11","yes",10,0,1,0,0,0,0,0,0,0,0,0,0,2.3,3,0,0,0,1,0,0,1.6,2011-02-19,"2010-2011"
"JACKSON-Shelton","SLIPPERY ROCK","home","02/19/11","yes",29,9,16,0.563,5,9,0.556,6,8,0.75,2,2,4,5.8,5,1,0,3,0,1,29,13.6,2011-02-19,"2010-2011"
"LEAO-Luis","SLIPPERY ROCK","home","02/19/11","no",31,6,8,0.75,0,1,0,2,4,0.5,2,8,10,8.2,4,0,1,4,3,1,14,17.8,2011-02-19,"2010-2011"
"McLAIN-Pat","SLIPPERY ROCK","home","02/19/11","yes",5,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.3,2011-02-19,"2010-2011"
"OUEGNIN-Jonathan","SLIPPERY ROCK","home","02/19/11","no",2,0,0,0,0,0,0,0,0,0,0,1,1,1.2,0,0,0,0,0,0,0,1.4,2011-02-19,"2010-2011"
"RATNER-Heiden","SLIPPERY ROCK","home","02/19/11","yes",34,4,13,0.308,3,7,0.429,6,7,0.857,0,3,3,3.3,5,1,4,1,0,1,17,19.8,2011-02-19,"2010-2011"
"RICKARD-Andrew","SLIPPERY ROCK","home","02/19/11","no",12,0,4,0,0,2,0,0,0,0,0,0,0,1.2,1,0,0,0,0,1,0,3.3,2011-02-19,"2010-2011"
"SNOW-Jason","SLIPPERY ROCK","home","02/19/11","yes",24,1,3,0.333,0,1,0,0,0,0,1,3,4,3.5,4,0,1,3,0,1,2,5,2011-02-19,"2010-2011"
"TURNER-Jamal","SLIPPERY ROCK","home","02/19/11","no",26,1,7,0.143,1,4,0.25,0,0,0,0,0,0,2.4,3,0,6,3,0,2,3,2.7,2011-02-19,"2010-2011"
"WEAVER-Bill","SLIPPERY ROCK","home","02/19/11","no",27,2,7,0.286,0,0,0,1,3,0.333,2,2,4,3,2,0,2,1,1,2,5,7.2,2011-02-19,"2010-2011"
"COHEN-Iddo","at Edinboro","away","02/23/11","no",8,0,1,0,0,0,0,0,0,0,2,1,3,2.3,2,0,0,1,0,0,0,1.5,2011-02-23,"2010-2011"
"JACKSON-Shelton","at Edinboro","away","02/23/11","yes",34,5,12,0.417,1,3,0.333,3,4,0.75,1,7,8,5.9,4,0,4,2,0,0,14,13.6,2011-02-23,"2010-2011"
"LEAO-Luis","at Edinboro","away","02/23/11","yes",38,6,14,0.429,1,2,0.5,6,8,0.75,3,12,15,8.4,4,0,2,3,0,0,19,17.8,2011-02-23,"2010-2011"
"McLAIN-Pat","at Edinboro","away","02/23/11","no",13,2,3,0.667,0,0,0,0,0,0,1,0,1,0.8,2,0,0,0,1,0,4,0.7,2011-02-23,"2010-2011"
"OUEGNIN-Jonathan","at Edinboro","away","02/23/11","no",3,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1.3,2011-02-23,"2010-2011"
"RATNER-Heiden","at Edinboro","away","02/23/11","yes",36,7,14,0.5,5,8,0.625,11,14,0.786,0,4,4,3.4,2,0,1,1,0,0,30,20.2,2011-02-23,"2010-2011"
"RICKARD-Andrew","at Edinboro","away","02/23/11","no",5,1,4,0.25,0,2,0,2,2,1,0,0,0,1.1,0,0,0,0,0,0,4,3.3,2011-02-23,"2010-2011"
"SNOW-Jason","at Edinboro","away","02/23/11","no",17,1,4,0.25,0,0,0,0,0,0,1,1,2,3.4,1,0,4,2,1,0,2,4.9,2011-02-23,"2010-2011"
"TURNER-Jamal","at Edinboro","away","02/23/11","yes",27,0,2,0,0,1,0,1,4,0.25,1,2,3,2.4,4,0,8,1,0,0,1,2.6,2011-02-23,"2010-2011"
"WEAVER-Bill","at Edinboro","away","02/23/11","yes",19,3,4,0.75,0,0,0,0,0,0,1,3,4,3,4,0,1,0,0,1,6,7.2,2011-02-23,"2010-2011"
"COHEN-Iddo","at Indiana (Pa.) Univ.","away","02/26/11","no",12,0,1,0,0,0,0,0,2,0,3,1,4,2.4,1,0,0,1,1,0,0,1.5,2011-02-26,"2010-2011"
"JACKSON-Shelton","at Indiana (Pa.) Univ.","away","02/26/11","yes",32,2,9,0.222,0,1,0,4,5,0.8,2,2,4,5.8,3,0,1,0,0,1,8,13.4,2011-02-26,"2010-2011"
"LEAO-Luis","at Indiana (Pa.) Univ.","away","02/26/11","yes",23,3,9,0.333,0,0,0,4,4,1,3,3,6,8.3,2,0,0,2,1,1,10,17.5,2011-02-26,"2010-2011"
"McLAIN-Pat","at Indiana (Pa.) Univ.","away","02/26/11","no",12,1,1,1,0,0,0,2,2,1,0,0,0,0.7,2,0,0,0,0,0,4,1,2011-02-26,"2010-2011"
"OUEGNIN-Jonathan","at Indiana (Pa.) Univ.","away","02/26/11","no",2,0,1,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,1.3,2011-02-26,"2010-2011"
"RATNER-Heiden","at Indiana (Pa.) Univ.","away","02/26/11","yes",33,3,17,0.176,1,8,0.125,2,3,0.667,1,3,4,3.4,1,0,1,2,0,2,9,19.8,2011-02-26,"2010-2011"
"RICKARD-Andrew","at Indiana (Pa.) Univ.","away","02/26/11","no",8,0,0,0,0,0,0,0,0,0,0,1,1,1.1,0,0,0,0,0,0,0,3.1,2011-02-26,"2010-2011"
"SNOW-Jason","at Indiana (Pa.) Univ.","away","02/26/11","no",11,1,3,0.333,0,0,0,1,3,0.333,0,0,0,3.3,2,0,1,2,1,1,3,4.8,2011-02-26,"2010-2011"
"TURNER-Jamal","at Indiana (Pa.) Univ.","away","02/26/11","yes",35,1,5,0.2,1,3,0.333,0,1,0,2,2,4,2.5,0,0,6,2,1,1,3,2.6,2011-02-26,"2010-2011"
"WEAVER-Bill","at Indiana (Pa.) Univ.","away","02/26/11","yes",32,4,10,0.4,0,0,0,1,2,0.5,4,6,10,3.3,1,0,1,2,0,0,9,7.2,2011-02-26,"2010-2011"
"COHEN-Iddo","SLIPPERY ROCK","home","03/01/11","yes",21,1,5,0.2,0,0,0,1,2,0.5,5,2,7,2.6,3,0,0,4,0,2,3,1.5,2011-03-01,"2010-2011"
"JACKSON-Shelton","SLIPPERY ROCK","home","03/01/11","yes",31,2,9,0.222,1,5,0.2,4,6,0.667,0,2,2,5.7,3,0,2,1,1,2,9,13.2,2011-03-01,"2010-2011"
