"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg","Rdate","Season"
"RICKARD-Andrew","LAKE ERIE COLLEGE","home","11/27/10","no",13,1,2,0.5,1,2,0.5,2,2,1,1,0,1,0.3,2,0,2,2,0,0,5,1.7,2010-11-27,"2010-2011"
"SNOW-Jason","LAKE ERIE COLLEGE","home","11/27/10","no",11,2,3,0.667,0,0,0,0,1,0,1,4,5,3,2,0,2,0,1,0,4,2,2010-11-27,"2010-2011"
"TURNER-Jamal","LAKE ERIE COLLEGE","home","11/27/10","yes",27,0,1,0,0,0,0,0,0,0,0,2,2,3,2,0,6,6,0,0,0,2,2010-11-27,"2010-2011"
"WEAVER-Bill","LAKE ERIE COLLEGE","home","11/27/10","no",25,3,4,0.75,0,1,0,1,2,0.5,0,1,1,3,2,0,2,3,3,0,7,10.3,2010-11-27,"2010-2011"
"COHEN-Iddo","at Urbana University","away","12/02/10","no",9,2,2,1,0,0,0,0,0,0,0,1,1,2.3,1,0,0,0,1,0,4,2.5,2010-12-02,"2010-2011"
"DUPITON-Olivier","at Urbana University","away","12/02/10","yes",23,3,7,0.429,0,0,0,3,5,0.6,0,2,2,3,3,0,1,2,1,1,9,7.3,2010-12-02,"2010-2011"
"JACKSON-Shelton","at Urbana University","away","12/02/10","yes",33,5,8,0.625,1,4,0.25,4,6,0.667,1,9,10,5,3,0,3,2,1,3,15,10.3,2010-12-02,"2010-2011"
"LEAO-Luis","at Urbana University","away","12/02/10","yes",20,6,11,0.545,2,2,1,5,5,1,3,5,8,8.3,3,0,0,6,1,0,19,16.3,2010-12-02,"2010-2011"
"OUEGNIN-Jonathan","at Urbana University","away","12/02/10","no",9,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1.5,2010-12-02,"2010-2011"
"RATNER-Heiden","at Urbana University","away","12/02/10","yes",36,6,13,0.462,0,5,0,0,0,0,0,2,2,2.8,2,0,7,2,1,0,12,19.8,2010-12-02,"2010-2011"
"SNOW-Jason","at Urbana University","away","12/02/10","no",16,2,2,1,0,0,0,1,3,0.333,2,2,4,3.3,0,0,0,1,0,0,5,2.8,2010-12-02,"2010-2011"
"TURNER-Jamal","at Urbana University","away","12/02/10","yes",33,2,3,0.667,0,0,0,3,4,0.75,0,1,1,2.5,0,0,5,1,0,0,7,3.3,2010-12-02,"2010-2011"
"WEAVER-Bill","at Urbana University","away","12/02/10","no",21,2,7,0.286,0,0,0,0,2,0,2,1,3,3,3,0,0,1,0,1,4,8.8,2010-12-02,"2010-2011"
"COHEN-Iddo","MANSFIELD UNIV.","home","12/6/10","no",12,1,3,0.333,0,0,0,2,4,0.5,1,2,3,2.4,2,0,1,2,0,0,4,2.8,2010-12-06,"2010-2011"
"DUPITON-Olivier","MANSFIELD UNIV.","home","12/6/10","yes",23,5,8,0.625,0,0,0,1,3,0.333,1,1,2,2.8,4,0,0,6,0,4,11,8,2010-12-06,"2010-2011"
"ELLINGTON-Keith","MANSFIELD UNIV.","home","12/6/10","no",5,0,0,0,0,0,0,3,4,0.75,1,1,2,0.7,0,0,0,2,0,0,3,1,2010-12-06,"2010-2011"
"JACKSON-Shelton","MANSFIELD UNIV.","home","12/6/10","yes",32,5,10,0.5,1,5,0.2,0,3,0,1,2,3,4.6,1,0,1,2,0,2,11,10.4,2010-12-06,"2010-2011"
"LEAO-Luis","MANSFIELD UNIV.","home","12/6/10","yes",29,8,14,0.571,1,3,0.333,1,2,0.5,3,9,12,9,4,0,1,4,0,2,18,16.6,2010-12-06,"2010-2011"
"OUEGNIN-Jonathan","MANSFIELD UNIV.","home","12/6/10","no",12,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,1.2,2010-12-06,"2010-2011"
"RATNER-Heiden","MANSFIELD UNIV.","home","12/6/10","yes",31,5,16,0.313,3,8,0.375,9,9,1,1,3,4,3,4,0,3,1,0,0,22,20.2,2010-12-06,"2010-2011"
"SNOW-Jason","MANSFIELD UNIV.","home","12/6/10","no",15,0,1,0,0,0,0,0,0,0,0,2,2,3,0,0,1,1,0,0,0,2.2,2010-12-06,"2010-2011"
"TURNER-Jamal","MANSFIELD UNIV.","home","12/6/10","yes",26,0,1,0,0,1,0,2,2,1,0,1,1,2.2,3,0,5,3,0,1,2,3,2010-12-06,"2010-2011"
"WEAVER-Bill","MANSFIELD UNIV.","home","12/6/10","no",15,0,3,0,0,0,0,1,2,0.5,0,0,0,2.4,2,0,0,1,0,2,1,7.2,2010-12-06,"2010-2011"
"COHEN-Iddo","DAVIS AND ELKINS","home","12/11/10","no",3,0,1,0,0,0,0,0,0,0,1,0,1,2.2,1,0,0,0,1,0,0,2.3,2010-12-11,"2010-2011"
"DUPITON-Olivier","DAVIS AND ELKINS","home","12/11/10","yes",13,2,2,1,0,0,0,3,6,0.5,0,0,0,2.3,3,0,1,3,0,0,7,7.8,2010-12-11,"2010-2011"
"ELLINGTON-Keith","DAVIS AND ELKINS","home","12/11/10","no",1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.8,2010-12-11,"2010-2011"
"JACKSON-Shelton","DAVIS AND ELKINS","home","12/11/10","yes",32,2,8,0.25,0,4,0,3,5,0.6,2,4,6,4.8,4,0,2,4,1,1,7,9.8,2010-12-11,"2010-2011"
"LEAO-Luis","DAVIS AND ELKINS","home","12/11/10","yes",32,7,10,0.7,2,2,1,4,6,0.667,3,10,13,9.7,3,0,2,0,4,1,20,17.2,2010-12-11,"2010-2011"
"OUEGNIN-Jonathan","DAVIS AND ELKINS","home","12/11/10","no",14,0,2,0,0,1,0,3,4,0.75,0,4,4,1.5,1,0,0,4,0,0,3,1.5,2010-12-11,"2010-2011"
"PENN-Joe","DAVIS AND ELKINS","home","12/11/10","no",2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8,2010-12-11,"2010-2011"
"RATNER-Heiden","DAVIS AND ELKINS","home","12/11/10","yes",39,7,16,0.438,6,13,0.462,5,6,0.833,1,4,5,3.3,2,0,5,2,0,0,25,21,2010-12-11,"2010-2011"
"SNOW-Jason","DAVIS AND ELKINS","home","12/11/10","no",19,2,3,0.667,1,1,1,2,7,0.286,3,2,5,3.3,2,0,1,2,0,1,7,3,2010-12-11,"2010-2011"
"TURNER-Jamal","DAVIS AND ELKINS","home","12/11/10","yes",30,1,3,0.333,0,0,0,1,2,0.5,1,1,2,2.2,3,0,5,5,0,1,3,3,2010-12-11,"2010-2011"
"WEAVER-Bill","DAVIS AND ELKINS","home","12/11/10","no",15,2,5,0.4,0,0,0,0,0,0,2,0,2,2.3,2,0,0,1,0,0,4,6.7,2010-12-11,"2010-2011"
"COHEN-Iddo","WASHINGTON ADVENTIST","home","12/12/10","no",6,0,1,0,0,0,0,1,2,0.5,1,0,1,2,0,0,1,0,0,0,1,2.1,2010-12-12,"2010-2011"
"DUPITON-Olivier","WASHINGTON ADVENTIST","home","12/12/10","yes",15,0,3,0,0,0,0,0,0,0,0,1,1,2.1,0,0,1,4,1,2,0,6.7,2010-12-12,"2010-2011"
"ELLINGTON-Keith","WASHINGTON ADVENTIST","home","12/12/10","no",2,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.6,2010-12-12,"2010-2011"
"JACKSON-Shelton","WASHINGTON ADVENTIST","home","12/12/10","yes",26,2,6,0.333,2,5,0.4,1,2,0.5,1,1,2,4.4,3,0,1,3,2,1,7,9.4,2010-12-12,"2010-2011"
"LEAO-Luis","WASHINGTON ADVENTIST","home","12/12/10","yes",33,5,8,0.625,0,2,0,5,7,0.714,1,7,8,9.4,1,0,0,4,1,0,15,16.9,2010-12-12,"2010-2011"
"OUEGNIN-Jonathan","WASHINGTON ADVENTIST","home","12/12/10","no",14,3,6,0.5,0,0,0,0,0,0,0,3,3,1.7,2,0,2,1,0,2,6,2.1,2010-12-12,"2010-2011"
"RATNER-Heiden","WASHINGTON ADVENTIST","home","12/12/10","yes",37,6,13,0.462,4,10,0.4,7,9,0.778,1,1,2,3.1,1,0,1,2,0,2,23,21.3,2010-12-12,"2010-2011"
"RICKARD-Andrew","WASHINGTON ADVENTIST","home","12/12/10","no",5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,1,0,0,0,0,1.3,2010-12-12,"2010-2011"
"SNOW-Jason","WASHINGTON ADVENTIST","home","12/12/10","no",14,1,3,0.333,0,0,0,0,0,0,4,1,5,3.6,1,0,1,1,0,1,2,2.9,2010-12-12,"2010-2011"
"TURNER-Jamal","WASHINGTON ADVENTIST","home","12/12/10","yes",29,0,2,0,0,1,0,0,0,0,0,0,0,1.9,3,0,7,1,0,2,0,2.6,2010-12-12,"2010-2011"
"WEAVER-Bill","WASHINGTON ADVENTIST","home","12/12/10","no",19,3,4,0.75,0,0,0,2,2,1,1,5,6,2.9,1,0,1,1,1,0,8,6.9,2010-12-12,"2010-2011"
